customer_id,firstname,lastname,email,phone
36,Ce$sar,Montserrat,josefa20@example.com,(280)-342-710984
37,Ainara,Aguado,,93933462
38,Fátima,Moratºa,segismundococa@example.org,86737914
39,José Mari,Ferrández,notengo@hotmail.com,30501167
40,Fel?ix,Pinto,parraotilia@example.net,398494673576
41,Andrés,Galán,,83651541
42,Asunción,Vi&ña,heliasexample.org,78525100
43,Ignacio,Lillo,,62087695
44,Emilia,Ballester,notengo@hotmail.com,(859)-705-920429
45,Octavia,Boada,notengo@hotmail.com,940671354549
46,#Claudio,Dueñas,,304586180847-525790568339
47,Carmina,Boix,santos68@example.net,51607228
48,#Néstor,Ureña,atiliomur@example.net,463906104786-647024143314
49,Natalio,Peñas,notengo@hotmail.com,(440)-677-524649
50,Josefa,Orozco,,328925033370
51,Rubén,Arcos,kmartinexample.org,423874339318-931157792143
52,Reynaldo,Sºuárez,notengo@hotmail.com,996725492200-663315466697
53,Primitivo,Blanca,aznarvirgilio@example.org,(547)-382-554431
54,Valeria,Be&lda,,64521713
55,José Mari,Olmo,msansexample.net,301895111780-430693876962
56,Azenet*h,Lum!breras,inocencio05@example.org,94774827
57,Melania,Villanueva,,35017461
58,Guiomar,Vid*al,jgisbert@example.org,797057012572
59,Nilo,Abella,csacristan@example.com,(645)-120-824530
60,R#egina,Cadenas,,537496413495-291836826013
61,Eliana,Sosa,usoriano@example.org,40894573
62,Íñigo,Casa*s,cloe17@example.com,476769569286-512328363240
63,Édgar,Abad,tomasgomila@example.net,659723806489-603574984903-506249232467
64,Calista,Borja,,(246)-118-450564
65,Isabela,Arranz,notengo@hotmail.com,65461500
