customer_id,firstname,lastname,email,phone
71,Jose Francisco,Sotelo,unicolau@example.com,92726608
72,Socorro,Navas,epenaexample.net,713861117735
73,Eugenia,Anay?a,solerasoniaexample.net,169563060485-684863968360
74,Fortunato,Bonet,celso20example.com,45732143
75,Bernardino,Zurita,rtudelaexample.com,(908)-779-488767
76,Artemio,Grande,,(746)-045-184271
77,Álvaro,Garrido,haydeevalderrama@example.net,164989778462
78,Clara,Castell,hamaya@example.com,259614700202
79,Horaci&o,Páez,irmasalcedo@example.com,315256217805-688715934613
80,Aníbal,Pintor,ferrerasmarisa@example.org,128592167823
81,Alfonso,Huguet,gzorrilla@example.com,680869487537-252649265083
82,Bernabé,Patiño,,(196)-281-606698
83,Jorge,Matas,silviovigilexample.org,694191612500
84,Chus,Ribas,,(767)-185-282190
85,Azeneth,Chacón,notengo@hotmail.com,938685351521-202616138928
