customer_id,firstname,lastname,email,phone
1,Pedro,*Gárate,albinoroda@example.com,377873976256
2,Roldán,Sierra,eliseobustamanteexample.org,228537022179
3,Magdalena,Ferrán,notengo@hotmail.com,255549114398
4,Segismundo,Aller,,705233776524
5,Josefina,Hernández,notengo@hotmail.com,(309)-141-778458
6,@Violeta,Camps,notengo@hotmail.com,975021022870-432905273587
7,Encarnita,Correa,isaaccardonaexample.org,69397974
8,Ildefonso,Rovira,notengo@hotmail.com,459821085906
9,Javi,Alcolea,notengo@hotmail.com,796750902099
10,Mayte,Uribe,kguijarro@example.com,(306)-778-875592
11,@Vito,Har¬o,notengo@hotmail.com,475578893351-174152089152
12,Adela,Mart@inez,notengo@hotmail.com,68861977
13,Julia,Camps,,401841301762
14,Ruperto,Elía&s,lastrairmaexample.com,(755)-211-160966
15,Malena,Serna,octaviaporta@example.com,921383116432
16,Gabriela,Bárcena,ricoclaudioexample.net,657654922840
17,Pastora,Benavent,ncarpioexample.org,(341)-223-750046
18,Lino,Talavera,notengo@hotmail.com,(246)-929-540382
19,Seve,Valderrama,notengo@hotmail.com,792772692500-941942647488
20,América,Olivera,ramonluis-miguelexample.net,701728781325-939237653613
