customer_id,firstname,lastname,email,phone
1,Rafa,Alsina,xtolosaexample.org,962089504678-437915740347-620262123800
2,Vice#nte,Uriarte,notengo@hotmail.com,(476)-117-773712
3,Custodio,R¬ey,consuela87example.org,210824666370
4,Bernabé,Barceló,,152313623878
5,Abraham,Boºada,carballojulia@example.net,62300399
6,Daniel,Huerta,,78093330
7,Donato,Bonet,kgalianoexample.org,36428901
8,Natanael,Julián,olivagraciana@example.org,(381)-228-482649
9,Etelvina,Ortiz,gracielarojas@example.org,156816003745
10,Nicodemo,Quintanilla,scollado@example.net,331178153357
11,Marci&al,Prieto,josesantana@example.com,372877388314-682359390978
12,Heraclio,Cifuentes,wsaez@example.net,611945731488-936861738092-224354923832
13,Basilio,M!endizábal,mtapia@example.com,(791)-401-578871
14,Marcos,Esteban,notengo@hotmail.com,79866090
15,Ximena,&Ariño,dafne79@example.org,(206)-682-741931
16,Mar!ía Luisa,Vilaplana,notengo@hotmail.com,952895659471-826114616606
17,Adelaida,Guitart,juan-francisco38@example.org,613299208309-516721786367
18,Pancho,Calzada,blancarevillaexample.net,654039565992-252029157996
19,Nativ*idad,Viña,griosexample.org,569815814833-441237482020
20,Lucas,Simó,notengo@hotmail.com,38136225
21,Jos@e Francisco,Bonilla,asuncionarmengol@example.org,69029476
22,Conrado,Aznar,aristidestejero@example.com,62499519
23,M#acarena,Segovia,,988084554225-660992407172
24,Priscila,Boada,viviana33example.com,51150278
25,Febe,Villanueva,esmeralda48@example.com,341043005874-614269183407
26,Juan Luºis,Jerez,salvadorruedaexample.net,37620903
27,Fausto,Melero,palaciosmicaelaexample.org,751771937701-215137539224
28,Pilar,Aliaga,,584966034801-414884062668
29,Melisa,Valero,notengo@hotmail.com,467177303833-225324331814-722212909809
30,Mauricio,Vidal,herberto23@example.net,(157)-923-680359
31,Aarón,Ramírez,miguel-angel01@example.org,20480822
32,Carina,Mármol,,342338839060-346099653911
33,Juanita,$Pareja,imelda97@example.net,639580855833-822468150997-147086086167
34,Margarita,Morales,carrilloramonexample.com,(231)-820-977912
35,Nicolasa,Cifuentes,uhuerta@example.net,390398267121
36,Adalberto,Gomez,,821475685209
37,Me?lisa,Pujadas,eugenio59example.net,(916)-521-255323
38,Asdrubal,Vendrell,gabrilexample.org,485975792769-486967866911
39,Gabriela,Gomis,rgalianoexample.net,(445)-626-791959
40,Cl$ara,Tello,notengo@hotmail.com,332773810601-458210636692-749484483791
41,Cándida,Infante,evangelina98@example.net,563856589281-205888713284
42,Maricela,Cid,eliassalvador@example.net,(465)-407-837471
43,María Ángeles,Arnal,fgrasexample.org,374265138046
44,Angelina,Bermúdez,abadeusebioexample.com,(950)-424-120545
45,%Nidia,Lumbreras,mireia62example.org,643579105056
